"","Age","Position","Games","Team","Total_Passes","Tackled_Intercept","Duels_Won","Goals_Total","Rating","Weight_kg","Height_cm"
"383",32,"Defender",34,"Real Sociedad",1563,61,154,3,"High Rating",76,182
"384",32,"Defender",29,"Valencia",852,63,190,2,"Average Rating",73,175
"385",39,"Midfielder",6,"Espanyol",105,3,12,0,"Low Rating",71,178
"386",32,"Attacker",28,"Real Sociedad",495,7,90,12,"High Rating",93,189
"387",30,"Attacker",35,"Real Sociedad",337,3,58,11,"Low Rating",69,172
"388",34,"Defender",26,"Alaves",709,56,94,2,"High Rating",80,185
"389",28,"Midfielder",1,"Real Sociedad",31,2,3,0,"Low Rating",64,179
"390",26,"Attacker",6,"Athletic Club",10,1,6,0,"Low Rating",86,184
"391",31,"Attacker",35,"Athletic Club",862,15,213,7,"High Rating",65,170
"392",32,"Defender",34,"Eibar",1058,72,179,1,"High Rating",89,189
"393",28,"Attacker",29,"Osasuna",383,51,188,1,"Low Rating",73,175
"394",35,"Defender",23,"Leganes",516,55,139,1,"Average Rating",71,184
"395",28,"Defender",26,"Athletic Club",998,96,155,0,"High Rating",78,182
"396",35,"Defender",33,"Athletic Club",790,36,156,1,"Average Rating",76,177
"397",33,"Defender",35,"Real Sociedad",1371,62,216,3,"Average Rating",79,181
"398",31,"Defender",31,"Eibar",603,65,160,0,"Average Rating",75,175
"399",34,"Defender",27,"Athletic Club",846,32,107,1,"Average Rating",77,182
"400",30,"Defender",25,"Athletic Club",447,15,124,2,"Average Rating",70,180
"401",33,"Midfielder",36,"Eibar",1401,76,182,1,"High Rating",81,180
"402",37,"Midfielder",36,"Athletic Club",631,32,318,10,"High Rating",83,184
"403",28,"Midfielder",23,"Leganes",401,8,46,2,"Low Rating",68,170
"404",29,"Attacker",38,"Athletic Club",526,14,169,5,"Low Rating",81,186
"406",26,"Midfielder",11,"Espanyol",80,1,22,0,"Low Rating",63,167
"407",30,"Midfielder",17,"Sporting Gijon",139,14,21,1,"Average Rating",83,191
"408",35,"Defender",31,"Villarreal",1064,43,178,1,"High Rating",62,171
"409",33,"Defender",36,"Villarreal",1162,70,190,0,"High Rating",74,182
"410",29,"Defender",25,"Osasuna",481,54,110,1,"Average Rating",72,185
"411",26,"Attacker",1,"Osasuna",2,0,1,0,"Low Rating",69,178
"412",31,"Midfielder",7,"Deportivo La Coruna",37,2,16,0,"Low Rating",74,177
"414",31,"Midfielder",16,"Real Betis",602,23,57,1,"High Rating",69,181
"415",30,"Defender",10,"Alaves",264,10,41,1,"High Rating",83,188
"416",31,"Midfielder",25,"Real Betis",417,14,101,1,"Low Rating",73,178
"418",32,"Defender",28,"Eibar",159,14,63,1,"Low Rating",65,170
"419",29,"Midfielder",26,"Sporting Gijon",672,11,87,2,"Average Rating",71,176
"420",33,"Midfielder",7,"Villarreal",24,2,8,0,"Low Rating",90,189
"421",36,"Midfielder",7,"Sporting Gijon",114,8,17,0,"Low Rating",69,165
"422",26,"Attacker",3,"Malaga",29,0,13,0,"Low Rating",83,185
"423",34,"Defender",12,"Valencia",333,33,44,0,"High Rating",83,193
"424",31,"Defender",2,"Alaves",24,3,6,0,"Average Rating",77,185
"425",32,"Midfielder",12,"Leganes",337,18,46,0,"Average Rating",74,187
"426",37,"Midfielder",17,"Sporting Gijon",234,15,41,0,"Low Rating",76,182
"427",42,"Attacker",35,"Real Betis",536,10,66,13,"High Rating",68,169
"428",33,"Midfielder",19,"Osasuna",307,32,88,0,"Average Rating",78,183
"429",26,"Midfielder",5,"Malaga",78,5,27,0,"Low Rating",76,182
"430",31,"Defender",22,"Leganes",526,59,121,0,"Average Rating",74,175
"431",32,"Midfielder",19,"Celta Vigo",508,9,36,2,"Average Rating",65,180
"432",33,"Attacker",20,"Eibar",132,11,25,3,"Low Rating",83,190
"433",32,"Midfielder",13,"Celta Vigo",201,2,52,0,"Low Rating",79,186
"434",29,"Midfielder",26,"Barcelona",615,9,57,1,"Average Rating",69,176
"435",28,"Midfielder",33,"Villarreal",597,47,175,2,"Average Rating",67,182
"436",29,"Defender",27,"Real Betis",612,29,111,1,"Average Rating",68,168
"437",31,"Defender",25,"Celta Vigo",951,58,94,0,"Average Rating",80,185
"438",34,"Defender",6,"Barcelona",257,8,19,2,"High Rating",70,177
"439",33,"Attacker",20,"Deportivo La Coruna",201,2,92,5,"Average Rating",80,192
"440",27,"Midfielder",1,"Deportivo La Coruna",17,0,5,0,"High Rating",68,178
"442",33,"Defender",16,"Real Betis",420,41,67,1,"High Rating",83,185
"444",32,"Midfielder",24,"Malaga",268,16,68,2,"Low Rating",76,179
"445",34,"Defender",7,"Villarreal",291,15,43,0,"High Rating",74,182
"447",26,"Midfielder",17,"Eibar",215,16,35,0,"Low Rating",87,191
"448",30,"Defender",29,"Leganes",489,58,91,1,"Average Rating",80,187
"449",25,"Defender",15,"Osasuna",217,23,54,0,"Low Rating",70,173
"450",33,"Attacker",31,"Sevilla",315,6,48,11,"High Rating",68,170
"451",30,"Midfielder",30,"Barcelona",866,11,92,3,"Average Rating",84,188
"452",35,"Attacker",1,"Deportivo La Coruna",21,0,2,1,"High Rating",82,180
"453",29,"Defender",18,"Real Betis",389,13,54,2,"Low Rating",61,173
"454",33,"Midfielder",20,"Real Betis",463,13,61,2,"Low Rating",77,184
"455",38,"Midfielder",8,"Deportivo La Coruna",249,10,31,1,"Average Rating",71,177
"456",35,"Midfielder",23,"Deportivo La Coruna",693,49,114,3,"High Rating",75,184
"457",37,"Defender",22,"Sporting Gijon",526,24,72,1,"Average Rating",91,181
"458",37,"Midfielder",28,"Osasuna",582,18,119,0,"Low Rating",69,175
"459",34,"Midfielder",29,"Alaves",487,11,70,5,"Average Rating",72,177
"460",34,"Defender",18,"Alaves",342,19,61,0,"Low Rating",74,180
"461",36,"Attacker",31,"Atletico Madrid",272,7,62,12,"High Rating",70,172
"462",38,"Defender",21,"Sevilla",805,32,79,0,"High Rating",90,190
"463",27,"Attacker",19,"Deportivo La Coruna",131,13,75,0,"Low Rating",66,171
"464",34,"Attacker",6,"Real Betis",34,0,7,0,"Low Rating",62,180
"465",28,"Defender",4,"Sporting Gijon",57,4,9,0,"Low Rating",81,184
"466",31,"Attacker",25,"Real Betis",275,6,137,3,"Average Rating",82,190
"467",27,"Defender",6,"Real Betis",161,16,25,0,"Average Rating",74,185
"468",36,"Defender",10,"Athletic Club",258,15,32,0,"High Rating",78,186
"470",28,"Defender",12,"Espanyol",218,16,54,2,"High Rating",79,188
"471",34,"Defender",25,"Sporting Gijon",624,57,129,0,"Low Rating",71,176
"472",35,"Defender",20,"Sporting Gijon",391,24,77,2,"Average Rating",76,179
"473",27,"Attacker",2,"Sporting Gijon",4,0,0,0,"Low Rating",85,192
"474",38,"Defender",7,"Deportivo La Coruna",104,11,22,0,"Low Rating",68,171
"475",34,"Defender",11,"Eibar",211,17,33,0,"Low Rating",79,182
"476",28,"Midfielder",8,"Osasuna",146,21,51,0,"Average Rating",75,184
"478",34,"Defender",27,"Valencia",968,58,108,4,"High Rating",90,189
"479",30,"Midfielder",21,"Sevilla",609,32,64,0,"Average Rating",75,177
"480",27,"Attacker",18,"Valencia",91,1,23,1,"Low Rating",71,168
"482",29,"Defender",4,"Osasuna",68,5,10,0,"Low Rating",80,191
"483",38,"Midfielder",2,"Sevilla",157,1,5,0,"Low Rating",70,171
"484",30,"Attacker",28,"Osasuna",355,3,116,7,"Average Rating",80,190
"485",31,"Attacker",23,"Celta Vigo",197,4,39,4,"Average Rating",79,185
"486",34,"Midfielder",28,"Leganes",407,21,93,8,"High Rating",65,175
"487",30,"Attacker",14,"Malaga",81,3,35,3,"Low Rating",68,175
"488",28,"Midfielder",7,"Celta Vigo",57,1,6,1,"Low Rating",73,175
"489",28,"Attacker",30,"Celta Vigo",481,10,129,3,"Average Rating",64,171
