"","Age","Position","Games","Team","Total_Passes","Tackled_Intercept","Duels_Won","Goals_Total","Rating","Weight_kg","Height_cm"
"76",31,"Attacker",20,"Valencia",194,3,99,6,"Average Rating",84,186
"77",29,"Midfielder",8,"Sporting Gijon",233,5,42,0,"Low Rating",78,189
"78",34,"Defender",19,"Athletic Club",621,46,101,0,"High Rating",78,182
"79",34,"Midfielder",29,"Las Palmas",1262,40,171,2,"Average Rating",76,187
"80",34,"Midfielder",28,"Eibar",395,8,88,7,"Low Rating",78,183
"82",35,"Midfielder",5,"Las Palmas",79,3,5,0,"Average Rating",73,182
"83",33,"Midfielder",35,"Athletic Club",945,61,188,4,"Average Rating",78,188
"85",37,"Defender",26,"Deportivo La Coruna",529,43,123,0,"Average Rating",66,171
"86",24,"Midfielder",3,"Osasuna",7,1,2,0,"Low Rating",63,174
"87",36,"Defender",23,"Atletico Madrid",673,32,92,0,"Average Rating",71,181
"88",35,"Defender",25,"Barcelona",1566,38,116,2,"High Rating",85,194
"89",30,"Defender",14,"Atletico Madrid",217,32,65,0,"High Rating",76,181
"90",25,"Midfielder",16,"Celta Vigo",238,5,49,1,"Low Rating",68,180
"91",30,"Midfielder",30,"Real Madrid",1084,18,145,10,"High Rating",79,176
"92",30,"Attacker",16,"Las Palmas",304,7,77,3,"High Rating",72,178
"94",37,"Defender",25,"Barcelona",1534,43,90,1,"High Rating",73,174
"95",31,"Midfielder",33,"Deportivo La Coruna",1000,14,148,3,"Average Rating",67,169
"96",31,"Defender",13,"Granada CF",214,11,51,0,"Low Rating",68,171
"97",33,"Midfielder",19,"Osasuna",208,7,94,0,"Low Rating",74,177
"98",37,"Attacker",16,"Valencia",177,9,31,1,"High Rating",64,170
"99",31,"Midfielder",18,"Malaga",609,16,94,3,"High Rating",74,183
"100",31,"Midfielder",22,"Malaga",292,14,96,0,"Low Rating",68,172
"101",34,"Defender",19,"Eibar",457,41,68,0,"High Rating",79,188
"102",32,"Defender",21,"Sporting Gijon",544,32,157,3,"Low Rating",70,171
"103",34,"Defender",27,"Deportivo La Coruna",853,42,90,1,"High Rating",89,193
"104",28,"Attacker",2,"Sporting Gijon",6,0,5,0,"Low Rating",78,186
"105",35,"Attacker",15,"Villarreal",215,4,37,2,"Low Rating",73,183
"106",34,"Defender",27,"Alaves",713,63,84,2,"High Rating",84,192
"107",36,"Midfielder",7,"Sporting Gijon",114,8,17,0,"Low Rating",69,165
"108",32,"Defender",12,"Granada CF",240,32,47,0,"Low Rating",75,179
"109",27,"Midfielder",8,"Real Sociedad",23,2,8,0,"Low Rating",70,179
"111",37,"Midfielder",34,"Atletico Madrid",1662,74,206,0,"High Rating",74,181
"112",26,"Midfielder",1,"Osasuna",1,0,1,0,"Low Rating",80,192
"113",34,"Midfielder",16,"Leganes",425,30,71,0,"High Rating",73,179
"114",35,"Attacker",21,"Alaves",168,2,72,3,"Average Rating",79,184
"115",35,"Midfielder",2,"Osasuna",0,1,4,0,"Low Rating",84,190
"116",34,"Defender",11,"Eibar",211,17,33,0,"Low Rating",79,182
"117",33,"Midfielder",14,"Real Betis",245,17,63,1,"High Rating",64,170
"119",38,"Defender",34,"Atletico Madrid",1465,63,268,3,"High Rating",77,181
"120",36,"Attacker",35,"Barcelona",653,11,105,29,"High Rating",86,182
