Games,Accuracy_Passes,Key_Passes,Total_Passes,Shots_Total,Dribbles_Attempts,Dribbles_Success,Tackled_Intercept,Goals_Total,Yellow_Cards,Weight_kg,Height_cm,Rating,Position
14,71,5,217,3,12,9,32,0,2,76,181,6.915384,Defender
16,90,5,238,1,16,8,5,1,3,68,180,6.607692,Midfielder
30,88,38,1084,32,88,53,18,10,4,79,176,7.173333,Midfielder
16,82,15,304,34,49,33,7,3,5,72,178,6.925,Attacker
25,89,16,1534,10,5,3,43,1,6,73,174,7.248,Defender
33,80,72,1000,42,61,31,14,3,5,67,169,6.8875,Midfielder
13,76,8,214,3,21,8,11,0,2,68,171,6.6,Defender
19,76,16,208,16,58,33,7,0,1,74,177,6.552631,Midfielder
16,73,14,177,11,20,13,9,1,4,64,170,6.957142,Attacker
18,82,15,609,15,11,7,16,3,9,74,183,6.938888,Midfielder
22,75,19,292,18,51,17,14,0,6,68,172,6.47619,Midfielder
19,65,3,457,5,1,1,41,0,4,79,188,7.010526,Defender
21,72,21,544,15,83,46,32,3,6,70,171,6.47619,Defender
27,79,4,853,10,6,4,42,1,10,89,193,6.903703,Defender
2,38,0,6,2,1,0,0,0,0,78,186,6.3,Attacker
15,75,8,215,10,16,9,4,2,0,73,183,6.65,Attacker
27,74,7,713,11,5,4,63,2,8,84,192,7.118518,Defender
7,56,0,114,3,1,0,8,0,1,69,165,6.414285,Midfielder
12,74,4,240,1,15,7,32,0,3,75,179,6.516666,Defender
8,68,1,23,2,6,2,2,0,0,70,179,6.366666,Midfielder
34,80,25,1662,25,25,15,74,0,9,74,181,7.073529,Midfielder
1,50,0,1,0,0,0,0,0,0,80,192,6.5,Midfielder
16,82,6,425,4,3,2,30,0,6,73,179,6.9,Midfielder
21,62,6,168,21,3,1,2,3,2,79,184,6.747368,Attacker
2,0,0,0,1,2,1,1,0,0,84,190,6.6,Midfielder
11,73,0,211,2,0,0,17,0,1,79,182,6.627272,Defender
14,73,16,245,7,10,6,17,1,3,64,170,6.96923,Midfielder
34,81,34,1465,25,129,74,63,3,5,77,181,7.32647,Defender
35,74,62,653,120,93,34,11,29,8,86,182,7.525714,Attacker
34,66,35,809,56,84,36,25,5,9,83,187,6.579411,Midfielder
28,77,22,486,44,60,30,25,3,5,63,169,6.77037,Midfielder
14,69,7,141,28,47,19,6,2,0,72,180,6.728571,Attacker
10,87,7,285,11,5,4,4,2,0,79,184,6.94,Midfielder
4,79,6,105,2,6,4,2,1,0,66,172,6.825,Midfielder
23,87,26,1008,18,41,33,12,0,2,68,171,7.147826,Midfielder
22,80,6,602,6,16,9,25,0,6,73,182,6.60909,Midfielder
11,74,9,91,8,19,13,6,0,1,80,180,6.836363,Attacker
2,72,3,18,0,1,0,1,0,0,65,175,6.6,Defender
32,68,62,648,64,53,27,38,7,7,72,178,6.88125,Midfielder
31,85,9,1134,9,49,32,35,1,3,77,186,6.8,Midfielder
23,86,23,527,17,51,25,13,1,7,65,171,6.556521,Midfielder
35,78,69,817,63,106,59,10,9,6,73,177,7.114285,Attacker
6,76,3,33,2,5,1,2,0,1,73,175,6.483333,Midfielder
17,80,2,809,3,6,4,38,1,7,91,188,6.9,Defender
20,79,12,151,25,4,2,5,6,1,72,175,6.905,Attacker
19,78,22,441,64,56,26,18,7,3,81,186,7.294736,Attacker
25,85,15,966,10,15,9,26,0,5,88,177,6.632,Defender
25,77,13,269,24,11,5,4,4,3,77,181,6.72,Attacker
12,74,5,218,16,16,11,16,2,0,79,188,6.966666,Defender
25,67,8,624,5,7,0,57,0,7,71,176,6.516,Defender
15,74,7,325,16,19,13,15,1,5,74,177,6.646666,Midfielder
20,70,14,391,11,7,2,24,2,4,76,179,6.76,Defender
4,66,1,57,0,0,0,4,0,1,81,184,6.65,Defender
7,63,2,104,0,3,2,11,0,0,68,171,6.5,Defender
8,68,1,146,5,2,2,21,0,1,75,184,6.725,Midfielder
37,68,87,624,85,113,49,35,10,6,70,183,6.878378,Midfielder
8,64,4,68,10,5,1,7,0,1,78,183,6.7,Attacker
15,83,9,484,6,30,13,19,0,4,66,179,6.5,Defender
35,89,21,2512,32,41,30,37,2,6,75,196,7.205714,Midfielder
30,82,11,1114,29,26,16,46,2,6,77,179,6.95,Midfielder
9,69,5,68,1,4,2,1,0,2,68,176,6.785714,Attacker
10,85,7,355,2,7,5,16,0,4,75,180,6.64,Midfielder
7,77,3,169,4,5,4,22,0,2,83,192,6.542857,Midfielder
