,Position,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Dribbles_Attempts,Fouls_Drawn,Fouls_Committed,Tackled_Intercept,Duels_Won,Duels_Total,Goals_Total,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Weight_kg
170,0,531,79,7,116,7,13,6,11,5,28,68,2,2,2,0,0,79
171,1,912,63,6,194,3,16,2,15,15,47,91,0,1,3,0,0,73
172,0,1135,67,9,190,15,4,24,18,4,88,185,3,1,5,0,0,76
173,2,2334,73,17,963,4,23,42,60,59,182,362,0,2,11,0,0,73
174,1,2117,69,24,700,1,40,20,18,67,118,210,1,1,3,0,0,68
175,2,721,73,10,190,3,40,19,7,12,63,116,2,1,0,0,0,65
176,0,2832,79,83,1320,77,205,79,14,7,234,441,37,2,6,0,0,72
177,0,2652,75,94,1165,42,271,126,36,10,343,594,13,2,7,0,1,68
178,2,154,83,1,79,0,1,0,3,2,9,15,0,1,0,0,0,70
179,1,2489,88,6,1533,10,7,37,34,57,155,237,7,2,8,1,0,82
180,2,1724,86,20,682,13,44,33,24,14,99,204,3,1,4,1,0,76
181,0,1716,73,22,272,23,52,8,9,7,62,189,12,1,0,0,0,70
183,1,967,75,10,270,3,7,5,8,19,37,79,0,0,2,0,0,67
184,2,1557,75,5,693,4,9,15,39,49,114,211,3,2,7,0,0,75
185,1,1715,77,4,526,3,1,12,10,24,72,126,1,1,2,0,0,91
186,2,1865,68,26,558,15,38,34,58,25,141,371,8,0,5,0,0,71
187,0,20,70,1,4,0,0,0,0,0,0,1,0,0,0,0,0,85
189,1,1785,81,2,805,2,6,15,23,32,79,136,0,2,4,0,1,90
190,0,1666,70,26,315,23,16,13,11,6,48,133,11,2,0,0,0,68
191,2,1590,86,12,866,7,33,17,40,11,92,210,3,1,3,0,0,84
192,2,1156,79,9,463,5,12,17,19,13,61,147,2,0,5,0,0,77
193,0,792,78,10,131,4,48,28,14,13,75,160,0,0,0,0,0,66
194,2,2420,85,9,1134,4,49,31,36,35,168,321,1,1,3,0,0,77
195,2,1410,86,23,527,6,51,34,21,13,80,169,1,0,7,0,0,65
196,0,2562,78,69,817,27,106,90,47,10,184,390,9,2,6,0,0,73
197,2,159,76,3,33,1,5,4,4,2,8,27,0,0,1,0,0,73
198,1,3009,81,34,1465,10,129,46,33,63,268,432,3,2,5,0,0,77
199,0,2865,74,62,653,58,93,44,33,11,105,247,29,2,8,0,0,86
200,1,856,76,5,254,0,4,10,14,23,52,104,0,1,3,0,0,80
201,2,2753,66,35,809,18,84,67,67,25,323,782,5,0,9,0,0,83
202,1,1263,74,0,391,2,9,3,14,44,39,85,0,1,4,0,0,79
203,2,2087,77,22,486,20,60,42,37,25,145,305,3,1,5,0,0,63
