,Position,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Dribbles_Attempts,Fouls_Drawn,Fouls_Committed,Tackled_Intercept,Duels_Won,Duels_Total,Goals_Total,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Weight_kg
444,1,630,81,9,291,0,14,4,7,15,43,68,0,2,2,0,0,74
446,2,712,72,4,215,1,11,1,12,16,35,79,0,0,3,0,0,87
447,1,1899,66,2,489,3,3,13,27,58,91,163,1,1,3,0,0,80
448,1,1029,65,11,217,0,15,7,18,23,54,114,0,0,3,0,0,70
449,0,1666,70,26,315,23,16,13,11,6,48,133,11,2,0,0,0,68
450,2,1590,86,12,866,7,33,17,40,11,92,210,3,1,3,0,0,84
451,0,90,84,3,21,1,2,2,2,0,2,10,1,2,0,0,0,82
452,1,1278,80,11,389,5,17,10,15,13,54,118,2,1,4,0,0,61
453,2,1156,79,9,463,5,12,17,19,13,61,147,2,0,5,0,0,77
454,2,552,82,4,249,1,1,1,9,10,31,65,1,1,2,0,0,71
455,2,1557,75,5,693,4,9,15,39,49,114,211,3,2,7,0,0,75
456,1,1715,77,4,526,3,1,12,10,24,72,126,1,1,2,0,0,91
457,2,1795,80,30,582,6,78,26,24,18,119,251,0,0,3,0,0,69
458,2,1828,73,37,487,21,50,14,17,11,70,177,5,1,2,0,0,72
459,1,1267,61,10,342,0,14,12,17,19,61,128,0,0,6,0,0,74
460,0,1716,73,22,272,23,52,8,9,7,62,189,12,1,0,0,0,70
461,1,1785,81,2,805,2,6,15,23,32,79,136,0,2,4,0,1,90
462,0,792,78,10,131,4,48,28,14,13,75,160,0,0,0,0,0,66
463,0,150,55,3,34,1,1,1,7,0,7,22,0,0,1,0,0,62
464,1,230,66,1,57,0,0,1,3,4,9,17,0,0,1,0,0,81
465,0,1434,66,8,275,20,16,54,43,6,137,295,3,1,2,0,0,82
466,1,498,65,1,161,0,3,1,6,16,25,46,0,1,0,0,0,74
467,1,711,80,0,258,0,0,4,5,15,32,51,0,2,2,0,0,78
469,1,789,74,5,218,3,16,12,5,16,54,89,2,2,0,0,0,79
470,1,2137,67,8,624,2,7,38,45,57,129,235,0,0,7,0,1,71
471,1,1755,70,14,391,2,7,13,15,24,77,136,2,1,4,0,0,76
472,0,20,70,1,4,0,0,0,0,0,0,1,0,0,0,0,0,85
473,1,425,63,2,104,0,3,5,15,11,22,48,0,0,0,1,0,68
474,1,761,73,0,211,0,0,4,5,17,33,52,0,0,1,0,0,79
475,2,526,68,1,146,0,2,7,11,21,51,92,0,1,1,0,0,75
477,1,2341,77,4,968,7,5,16,23,58,108,173,4,2,7,0,0,90
478,2,1281,87,3,609,0,5,15,22,32,64,131,0,1,6,0,0,75
479,0,274,71,11,91,2,18,12,5,1,23,48,1,1,2,0,0,71
481,1,360,69,1,68,0,0,1,8,5,10,24,0,0,4,0,0,80
482,2,172,90,1,157,0,3,0,1,1,5,13,0,0,0,0,0,70
483,0,1465,71,12,355,15,18,26,15,3,116,267,7,1,4,0,0,80
484,0,1070,75,14,197,9,7,17,28,4,39,108,4,1,8,0,0,79
485,2,2040,75,29,407,17,50,29,21,21,93,195,8,2,1,0,0,65
486,0,738,72,9,81,8,7,15,20,3,35,116,3,1,3,0,0,68
487,2,259,64,6,57,2,12,0,5,1,6,32,1,0,0,0,0,73
488,0,1664,76,14,481,13,97,47,22,10,129,266,3,1,1,0,0,64
